Team_1,Team_1_number,Team_2,Team_2_number,Winner_team,Winner_team_number,Margin,Ground,Ground_number,Match Date,Scorecard,Match_number,Match_Type
Afghanistan,40,Ireland,29,Ireland,29,6 wickets,Greater Noida,942501,"Mar 19, 2017",ODI # 3852,1040495,ODI
Afghanistan,40,Ireland,29,Ireland,29,3 wickets,Greater Noida,942501,"Mar 22, 2017",ODI # 3853,1040497,ODI
Afghanistan,40,Ireland,29,Afghanistan,40,7 wickets,Greater Noida,942501,"Mar 24, 2017",ODI # 3854,1040499,ODI
Sri Lanka,8,Bangladesh,25,Bangladesh,25,90 runs,Dambulla,59368,"Mar 25, 2017",ODI # 3855,1083446,ODI
Sri Lanka,8,Bangladesh,25,no result,,,Dambulla,59368,"Mar 28, 2017",ODI # 3856,1083447,ODI
Sri Lanka,8,Bangladesh,25,Sri Lanka,8,70 runs,Colombo (SSC),59308,"Apr 1, 2017",ODI # 3858,1083448,ODI
West Indies,4,Pakistan,7,West Indies,4,4 wickets,Providence,208544,"Apr 7, 2017",ODI # 3861,1077949,ODI
West Indies,4,Pakistan,7,Pakistan,7,74 runs,Providence,208544,"Apr 9, 2017",ODI # 3862,1077950,ODI
West Indies,4,Pakistan,7,Pakistan,7,6 wickets,Providence,208544,"Apr 11, 2017",ODI # 3863,1077951,ODI
England,1,Ireland,29,England,1,7 wickets,Bristol,56831,"May 5, 2017",ODI # 3864,1029001,ODI
England,1,Ireland,29,England,1,85 runs,Lord's,57129,"May 7, 2017",ODI # 3865,1029003,ODI
Ireland,29,Bangladesh,25,no result,,,Dublin (Malahide),58607,"May 12, 2017",ODI # 3866,1033361,ODI
Ireland,29,New Zealand,5,New Zealand,5,51 runs,Dublin (Malahide),58607,"May 14, 2017",ODI # 3867,1033363,ODI
Bangladesh,25,New Zealand,5,New Zealand,5,4 wickets,Dublin,58604,"May 17, 2017",ODI # 3868,1033365,ODI
Ireland,29,Bangladesh,25,Bangladesh,25,8 wickets,Dublin (Malahide),58607,"May 19, 2017",ODI # 3869,1033367,ODI
Ireland,29,New Zealand,5,New Zealand,5,190 runs,Dublin (Malahide),58607,"May 21, 2017",ODI # 3870,1033369,ODI
Bangladesh,25,New Zealand,5,Bangladesh,25,5 wickets,Dublin,58604,"May 24, 2017",ODI # 3871,1033371,ODI
England,1,South Africa,3,England,1,72 runs,Leeds,57092,"May 24, 2017",ODI # 3872,1031425,ODI
England,1,South Africa,3,England,1,2 runs,Southampton,57312,"May 27, 2017",ODI # 3873,1031427,ODI
England,1,South Africa,3,South Africa,3,7 wickets,Lord's,57129,"May 29, 2017",ODI # 3874,1031429,ODI
England,1,Bangladesh,25,England,1,8 wickets,The Oval,57127,"Jun 1, 2017",ODI # 3875,1022347,ODI
Australia,2,New Zealand,5,no result,,,Birmingham,56788,"Jun 2, 2017",ODI # 3876,1022349,ODI
South Africa,3,Sri Lanka,8,South Africa,3,96 runs,The Oval,57127,"Jun 3, 2017",ODI # 3877,1022351,ODI
India,6,Pakistan,7,India,6,124 runs,Birmingham,56788,"Jun 4, 2017",ODI # 3878,1022353,ODI
Australia,2,Bangladesh,25,no result,,,The Oval,57127,"Jun 5, 2017",ODI # 3879,1022355,ODI
England,1,New Zealand,5,England,1,87 runs,Cardiff,56874,"Jun 6, 2017",ODI # 3880,1022357,ODI
Pakistan,7,South Africa,3,Pakistan,7,19 runs,Birmingham,56788,"Jun 7, 2017",ODI # 3881,1022359,ODI
India,6,Sri Lanka,8,Sri Lanka,8,7 wickets,The Oval,57127,"Jun 8, 2017",ODI # 3882,1022361,ODI
Bangladesh,25,New Zealand,5,Bangladesh,25,5 wickets,Cardiff,56874,"Jun 9, 2017",ODI # 3883,1022363,ODI
West Indies,4,Afghanistan,40,Afghanistan,40,63 runs,Gros Islet,59518,"Jun 9, 2017",ODI # 3884,1089779,ODI
England,1,Australia,2,England,1,40 runs,Birmingham,56788,"Jun 10, 2017",ODI # 3885,1022365,ODI
India,6,South Africa,3,India,6,8 wickets,The Oval,57127,"Jun 11, 2017",ODI # 3886,1022367,ODI
West Indies,4,Afghanistan,40,West Indies,4,4 wickets,Gros Islet,59518,"Jun 11, 2017",ODI # 3887,1089780,ODI
Pakistan,7,Sri Lanka,8,Pakistan,7,3 wickets,Cardiff,56874,"Jun 12, 2017",ODI # 3888,1022369,ODI
England,1,Pakistan,7,Pakistan,7,8 wickets,Cardiff,56874,"Jun 14, 2017",ODI # 3889,1022371,ODI
West Indies,4,Afghanistan,40,no result,,,Gros Islet,59518,"Jun 14, 2017",ODI # 3890,1089781,ODI
Bangladesh,25,India,6,India,6,9 wickets,Birmingham,56788,"Jun 15, 2017",ODI # 3891,1022373,ODI
India,6,Pakistan,7,Pakistan,7,180 runs,The Oval,57127,"Jun 18, 2017",ODI # 3894,1022375,ODI
West Indies,4,India,6,no result,,,Port of Spain,59475,"Jun 23, 2017",ODI # 3895,1098206,ODI
West Indies,4,India,6,India,6,105 runs,Port of Spain,59475,"Jun 25, 2017",ODI # 3896,1098207,ODI
Sri Lanka,8,Zimbabwe,9,Zimbabwe,9,6 wickets,Galle,59325,"Jun 30, 2017",ODI # 3897,1104478,ODI
West Indies,4,India,6,India,6,93 runs,North Sound,208543,"Jun 30, 2017",ODI # 3898,1098208,ODI
Sri Lanka,8,Zimbabwe,9,Sri Lanka,8,7 wickets,Galle,59325,"Jul 2, 2017",ODI # 3899,1104479,ODI
West Indies,4,India,6,West Indies,4,11 runs,North Sound,208543,"Jul 2, 2017",ODI # 3900,1098209,ODI
Sri Lanka,8,Zimbabwe,9,Sri Lanka,8,8 wickets,Hambantota,434210,"Jul 6, 2017",ODI # 3901,1104480,ODI
West Indies,4,India,6,India,6,8 wickets,Kingston,59458,"Jul 6, 2017",ODI # 3902,1098210,ODI
Sri Lanka,8,Zimbabwe,9,Zimbabwe,9,4 wickets,Hambantota,434210,"Jul 8, 2017",ODI # 3903,1104481,ODI
Sri Lanka,8,Zimbabwe,9,Zimbabwe,9,3 wickets,Hambantota,434210,"Jul 10, 2017",ODI # 3904,1104482,ODI
Sri Lanka,8,India,6,India,6,9 wickets,Dambulla,59368,"Aug 20, 2017",ODI # 3905,1109605,ODI
Sri Lanka,8,India,6,India,6,3 wickets,Pallekele,434211,"Aug 24, 2017",ODI # 3906,1109606,ODI
Sri Lanka,8,India,6,India,6,6 wickets,Pallekele,434211,"Aug 27, 2017",ODI # 3907,1109607,ODI
Sri Lanka,8,India,6,India,6,168 runs,Colombo (RPS),59306,"Aug 31, 2017",ODI # 3908,1109608,ODI
Sri Lanka,8,India,6,India,6,6 wickets,Colombo (RPS),59306,"Sep 3, 2017",ODI # 3909,1109609,ODI
India,6,Australia,2,India,6,26 runs,Chennai,58008,"Sep 17, 2017",ODI # 3910,1119496,ODI
England,1,West Indies,4,England,1,7 wickets,Manchester,57160,"Sep 19, 2017",ODI # 3911,1031667,ODI
India,6,Australia,2,India,6,50 runs,Kolkata,57980,"Sep 21, 2017",ODI # 3912,1119497,ODI
England,1,West Indies,4,no result,,,Nottingham,57219,"Sep 21, 2017",ODI # 3913,1031669,ODI
India,6,Australia,2,India,6,5 wickets,Indore,58150,"Sep 24, 2017",ODI # 3914,1119498,ODI
England,1,West Indies,4,England,1,124 runs,Bristol,56831,"Sep 24, 2017",ODI # 3915,1031671,ODI
England,1,West Indies,4,England,1,6 runs,The Oval,57127,"Sep 27, 2017",ODI # 3916,1031673,ODI
India,6,Australia,2,Australia,2,21 runs,Bengaluru,57897,"Sep 28, 2017",ODI # 3917,1119499,ODI
England,1,West Indies,4,England,1,9 wickets,Southampton,57312,"Sep 29, 2017",ODI # 3918,1031675,ODI
India,6,Australia,2,India,6,7 wickets,Nagpur,375326,"Oct 1, 2017",ODI # 3919,1119500,ODI
Pakistan,7,Sri Lanka,8,Pakistan,7,83 runs,Dubai (DSC),392627,"Oct 13, 2017",ODI # 3922,1120286,ODI
South Africa,3,Bangladesh,25,South Africa,3,10 wickets,Kimberley,59135,"Oct 15, 2017",ODI # 3923,1075504,ODI
Pakistan,7,Sri Lanka,8,Pakistan,7,32 runs,Abu Dhabi,59396,"Oct 16, 2017",ODI # 3924,1120287,ODI
South Africa,3,Bangladesh,25,South Africa,3,104 runs,Paarl,59147,"Oct 18, 2017",ODI # 3925,1075505,ODI
Pakistan,7,Sri Lanka,8,Pakistan,7,7 wickets,Abu Dhabi,59396,"Oct 18, 2017",ODI # 3926,1120288,ODI
Pakistan,7,Sri Lanka,8,Pakistan,7,7 wickets,Sharjah,59392,"Oct 20, 2017",ODI # 3927,1120289,ODI
India,6,New Zealand,5,New Zealand,5,6 wickets,Mumbai,58324,"Oct 22, 2017",ODI # 3928,1120090,ODI
South Africa,3,Bangladesh,25,South Africa,3,200 runs,East London,59098,"Oct 22, 2017",ODI # 3929,1075506,ODI
Pakistan,7,Sri Lanka,8,Pakistan,7,9 wickets,Sharjah,59392,"Oct 23, 2017",ODI # 3930,1120290,ODI
India,6,New Zealand,5,India,6,6 wickets,Pune,545380,"Oct 25, 2017",ODI # 3931,1120091,ODI
India,6,New Zealand,5,India,6,6 runs,Kanpur,58204,"Oct 29, 2017",ODI # 3932,1120092,ODI
Afghanistan,40,Ireland,29,Afghanistan,40,138 runs,Sharjah,59392,"Dec 5, 2017",ODI # 3935,1125472,ODI
Afghanistan,40,Ireland,29,Ireland,29,51 runs,Sharjah,59392,"Dec 7, 2017",ODI # 3937,1125473,ODI
India,6,Sri Lanka,8,Sri Lanka,8,7 wickets,Dharamsala,58056,"Dec 10, 2017",ODI # 3939,1122726,ODI
Afghanistan,40,Ireland,29,Ireland,29,5 wickets,Sharjah,59392,"Dec 10, 2017",ODI # 3940,1125474,ODI
India,6,Sri Lanka,8,India,6,141 runs,Mohali,57991,"Dec 13, 2017",ODI # 3941,1122727,ODI
India,6,Sri Lanka,8,India,6,8 wickets,Visakhapatnam,58547,"Dec 17, 2017",ODI # 3942,1122728,ODI
New Zealand,5,West Indies,4,New Zealand,5,5 wickets,Whangarei,441704,"Dec 20, 2017",ODI # 3943,1115795,ODI
New Zealand,5,West Indies,4,New Zealand,5,204 runs,Christchurch,58810,"Dec 23, 2017",ODI # 3944,1115796,ODI
New Zealand,5,West Indies,4,New Zealand,5,66 runs,Christchurch,58810,"Dec 26, 2017",ODI # 3945,1115797,ODI
New Zealand,5,Pakistan,7,New Zealand,5,61 runs,Wellington,58895,"Jan 6, 2018",ODI # 3946,1115802,ODI
New Zealand,5,Pakistan,7,New Zealand,5,8 wickets,Nelson,424917,"Jan 9, 2018",ODI # 3947,1115803,ODI
New Zealand,5,Pakistan,7,New Zealand,5,183 runs,Dunedin,58827,"Jan 13, 2018",ODI # 3949,1115804,ODI
Australia,2,England,1,England,1,5 wickets,Melbourne,56441,"Jan 14, 2018",ODI # 3951,1072310,ODI
Bangladesh,25,Zimbabwe,9,Bangladesh,25,8 wickets,Dhaka,236761,"Jan 15, 2018",ODI # 3952,1130737,ODI
New Zealand,5,Pakistan,7,New Zealand,5,5 wickets,Hamilton,58831,"Jan 16, 2018",ODI # 3953,1115805,ODI
Sri Lanka,8,Zimbabwe,9,Zimbabwe,9,12 runs,Dhaka,236761,"Jan 17, 2018",ODI # 3955,1130738,ODI
New Zealand,5,Pakistan,7,New Zealand,5,15 runs,Wellington,58895,"Jan 19, 2018",ODI # 3957,1115806,ODI
Australia,2,England,1,England,1,4 wickets,Brisbane,56336,"Jan 19, 2018",ODI # 3958,1072311,ODI
Bangladesh,25,Sri Lanka,8,Bangladesh,25,163 runs,Dhaka,236761,"Jan 19, 2018",ODI # 3959,1130739,ODI
Australia,2,England,1,England,1,16 runs,Sydney,56544,"Jan 21, 2018",ODI # 3960,1072312,ODI
Sri Lanka,8,Zimbabwe,9,Sri Lanka,8,5 wickets,Dhaka,236761,"Jan 21, 2018",ODI # 3962,1130740,ODI
Bangladesh,25,Zimbabwe,9,Bangladesh,25,91 runs,Dhaka,236761,"Jan 23, 2018",ODI # 3964,1130741,ODI
Bangladesh,25,Sri Lanka,8,Sri Lanka,8,10 wickets,Dhaka,236761,"Jan 25, 2018",ODI # 3965,1130742,ODI
Australia,2,England,1,Australia,2,3 wickets,Adelaide,56293,"Jan 26, 2018",ODI # 3966,1072313,ODI
Bangladesh,25,Sri Lanka,8,Sri Lanka,8,79 runs,Dhaka,236761,"Jan 27, 2018",ODI # 3967,1130743,ODI
Australia,2,England,1,England,1,12 runs,Perth,1126475,"Jan 28, 2018",ODI # 3968,1072314,ODI
South Africa,3,India,6,India,6,6 wickets,Durban,59089,"Feb 1, 2018",ODI # 3969,1122279,ODI
South Africa,3,India,6,India,6,9 wickets,Centurion,59079,"Feb 4, 2018",ODI # 3970,1122280,ODI
South Africa,3,India,6,India,6,124 runs,Cape Town,59068,"Feb 7, 2018",ODI # 3971,1122281,ODI
Afghanistan,40,Zimbabwe,9,Afghanistan,40,154 runs,Sharjah,59392,"Feb 9, 2018",ODI # 3972,1134033,ODI
South Africa,3,India,6,South Africa,3,5 wickets,Johannesburg,59120,"Feb 10, 2018",ODI # 3973,1122282,ODI
Afghanistan,40,Zimbabwe,9,Zimbabwe,9,154 runs,Sharjah,59392,"Feb 11, 2018",ODI # 3974,1134034,ODI
Afghanistan,40,Zimbabwe,9,Afghanistan,40,6 wickets,Sharjah,59392,"Feb 13, 2018",ODI # 3975,1134035,ODI
South Africa,3,India,6,India,6,73 runs,Port Elizabeth,59159,"Feb 13, 2018",ODI # 3976,1122283,ODI
Afghanistan,40,Zimbabwe,9,Afghanistan,40,10 wickets,Sharjah,59392,"Feb 16, 2018",ODI # 3977,1134036,ODI
South Africa,3,India,6,India,6,8 wickets,Centurion,59079,"Feb 16, 2018",ODI # 3978,1122284,ODI
Afghanistan,40,Zimbabwe,9,Afghanistan,40,146 runs,Sharjah,59392,"Feb 19, 2018",ODI # 3979,1134037,ODI
New Zealand,5,England,1,New Zealand,5,3 wickets,Hamilton,58831,"Feb 25, 2018",ODI # 3980,1115775,ODI
New Zealand,5,England,1,England,1,6 wickets,Mount Maunganui,444258,"Feb 28, 2018",ODI # 3981,1115776,ODI
New Zealand,5,England,1,England,1,4 runs,Wellington,58899,"Mar 3, 2018",ODI # 3982,1115777,ODI
Zimbabwe,9,Afghanistan,40,Zimbabwe,9,2 runs,Bulawayo,59537,"Mar 6, 2018",ODI # 3988,1133004,ODI
New Zealand,5,England,1,New Zealand,5,5 wickets,Dunedin,58827,"Mar 7, 2018",ODI # 3989,1115778,ODI
New Zealand,5,England,1,England,1,7 wickets,Christchurch,58810,"Mar 10, 2018",ODI # 3992,1115779,ODI
Ireland,29,West Indies,4,West Indies,4,52 runs,Harare,59545,"Mar 10, 2018",ODI # 3993,1133010,ODI
Afghanistan,40,West Indies,4,Afghanistan,40,3 wickets,Harare,59545,"Mar 15, 2018",ODI # 3997,1133018,ODI
Zimbabwe,9,Ireland,29,Zimbabwe,9,107 runs,Harare,59545,"Mar 16, 2018",ODI # 3999,1133022,ODI
Zimbabwe,9,West Indies,4,West Indies,4,4 wickets,Harare,59545,"Mar 19, 2018",ODI # 4002,1133026,ODI
Afghanistan,40,Ireland,29,Afghanistan,40,5 wickets,Harare,59545,"Mar 23, 2018",ODI # 4006,1133030,ODI
Afghanistan,40,West Indies,4,Afghanistan,40,7 wickets,Harare,59545,"Mar 25, 2018",ODI # 4007,1133031,ODI
England,1,Australia,2,England,1,3 wickets,The Oval,57127,"Jun 13, 2018",ODI # 4009,1119537,ODI
England,1,Australia,2,England,1,38 runs,Cardiff,56874,"Jun 16, 2018",ODI # 4010,1119538,ODI
England,1,Australia,2,England,1,242 runs,Nottingham,57219,"Jun 19, 2018",ODI # 4011,1119539,ODI
England,1,Australia,2,England,1,6 wickets,Chester-le-Street,56901,"Jun 21, 2018",ODI # 4012,1119540,ODI
England,1,Australia,2,England,1,1 wicket,Manchester,57160,"Jun 24, 2018",ODI # 4013,1119541,ODI
England,1,India,6,India,6,8 wickets,Nottingham,57219,"Jul 12, 2018",ODI # 4014,1119546,ODI
Zimbabwe,9,Pakistan,7,Pakistan,7,201 runs,Bulawayo,59537,"Jul 13, 2018",ODI # 4015,1142920,ODI
England,1,India,6,England,1,86 runs,Lord's,57129,"Jul 14, 2018",ODI # 4016,1119547,ODI
Zimbabwe,9,Pakistan,7,Pakistan,7,9 wickets,Bulawayo,59537,"Jul 16, 2018",ODI # 4017,1142921,ODI
England,1,India,6,England,1,8 wickets,Leeds,57092,"Jul 17, 2018",ODI # 4018,1119548,ODI
Zimbabwe,9,Pakistan,7,Pakistan,7,9 wickets,Bulawayo,59537,"Jul 18, 2018",ODI # 4019,1142922,ODI
Zimbabwe,9,Pakistan,7,Pakistan,7,244 runs,Bulawayo,59537,"Jul 20, 2018",ODI # 4020,1142923,ODI
Zimbabwe,9,Pakistan,7,Pakistan,7,131 runs,Bulawayo,59537,"Jul 22, 2018",ODI # 4021,1142924,ODI
West Indies,4,Bangladesh,25,Bangladesh,25,48 runs,Providence,208544,"Jul 22, 2018",ODI # 4022,1146720,ODI
West Indies,4,Bangladesh,25,West Indies,4,3 runs,Providence,208544,"Jul 25, 2018",ODI # 4023,1146721,ODI
West Indies,4,Bangladesh,25,Bangladesh,25,18 runs,Basseterre,59421,"Jul 28, 2018",ODI # 4024,1146722,ODI
Sri Lanka,8,South Africa,3,South Africa,3,5 wickets,Dambulla,59368,"Jul 29, 2018",ODI # 4025,1142584,ODI
Sri Lanka,8,South Africa,3,South Africa,3,4 wickets,Dambulla,59368,"Aug 1, 2018",ODI # 4027,1142585,ODI
Sri Lanka,8,South Africa,3,South Africa,3,78 runs,Pallekele,434211,"Aug 5, 2018",ODI # 4029,1142586,ODI
Sri Lanka,8,South Africa,3,Sri Lanka,8,3 runs,Pallekele,434211,"Aug 8, 2018",ODI # 4030,1142587,ODI
Sri Lanka,8,South Africa,3,Sri Lanka,8,178 runs,Colombo (RPS),59306,"Aug 12, 2018",ODI # 4031,1142588,ODI
Ireland,29,Afghanistan,40,Afghanistan,40,29 runs,Belfast,58588,"Aug 27, 2018",ODI # 4032,1150146,ODI
Ireland,29,Afghanistan,40,Ireland,29,3 wickets,Belfast,58588,"Aug 29, 2018",ODI # 4033,1150147,ODI
Ireland,29,Afghanistan,40,Afghanistan,40,8 wickets,Belfast,58588,"Aug 31, 2018",ODI # 4035,1150148,ODI
Bangladesh,25,Sri Lanka,8,Bangladesh,25,137 runs,Dubai (DSC),392627,"Sep 15, 2018",ODI # 4036,1153243,ODI
Afghanistan,40,Sri Lanka,8,Afghanistan,40,91 runs,Abu Dhabi,59396,"Sep 17, 2018",ODI # 4038,1153245,ODI
India,6,Pakistan,7,India,6,8 wickets,Dubai (DSC),392627,"Sep 19, 2018",ODI # 4040,1153247,ODI
Afghanistan,40,Bangladesh,25,Afghanistan,40,136 runs,Abu Dhabi,59396,"Sep 20, 2018",ODI # 4041,1153248,ODI
Bangladesh,25,India,6,India,6,7 wickets,Dubai (DSC),392627,"Sep 21, 2018",ODI # 4042,1153249,ODI
Afghanistan,40,Pakistan,7,Pakistan,7,3 wickets,Abu Dhabi,59396,"Sep 21, 2018",ODI # 4043,1153250,ODI
India,6,Pakistan,7,India,6,9 wickets,Dubai (DSC),392627,"Sep 23, 2018",ODI # 4044,1153251,ODI
Afghanistan,40,Bangladesh,25,Bangladesh,25,3 runs,Abu Dhabi,59396,"Sep 23, 2018",ODI # 4045,1153252,ODI
Afghanistan,40,India,6,tied,,,Dubai (DSC),392627,"Sep 25, 2018",ODI # 4046,1153253,ODI
Bangladesh,25,Pakistan,7,Bangladesh,25,37 runs,Abu Dhabi,59396,"Sep 26, 2018",ODI # 4047,1153254,ODI
Bangladesh,25,India,6,India,6,3 wickets,Dubai (DSC),392627,"Sep 28, 2018",ODI # 4048,1153255,ODI
South Africa,3,Zimbabwe,9,South Africa,3,5 wickets,Kimberley,59135,"Sep 30, 2018",ODI # 4049,1144146,ODI
South Africa,3,Zimbabwe,9,South Africa,3,120 runs,Bloemfontein,59042,"Oct 3, 2018",ODI # 4050,1144147,ODI
South Africa,3,Zimbabwe,9,South Africa,3,4 wickets,Paarl,59147,"Oct 6, 2018",ODI # 4051,1144148,ODI
Sri Lanka,8,England,1,no result,,,Dambulla,59368,"Oct 10, 2018",ODI # 4052,1140379,ODI
Sri Lanka,8,England,1,England,1,31 runs,Dambulla,59368,"Oct 13, 2018",ODI # 4053,1140380,ODI
Sri Lanka,8,England,1,England,1,7 wickets,Pallekele,434211,"Oct 17, 2018",ODI # 4054,1140381,ODI
Sri Lanka,8,England,1,England,1,18 runs,Pallekele,434211,"Oct 20, 2018",ODI # 4055,1140382,ODI
India,6,West Indies,4,India,6,8 wickets,Guwahati,680295,"Oct 21, 2018",ODI # 4056,1157754,ODI
Bangladesh,25,Zimbabwe,9,Bangladesh,25,28 runs,Dhaka,236761,"Oct 21, 2018",ODI # 4057,1153635,ODI
Sri Lanka,8,England,1,Sri Lanka,8,219 runs,Colombo (RPS),59306,"Oct 23, 2018",ODI # 4058,1140383,ODI
India,6,West Indies,4,tied,,,Visakhapatnam,58547,"Oct 24, 2018",ODI # 4059,1157755,ODI
Bangladesh,25,Zimbabwe,9,Bangladesh,25,7 wickets,Chattogram,56658,"Oct 24, 2018",ODI # 4060,1153636,ODI
Bangladesh,25,Zimbabwe,9,Bangladesh,25,7 wickets,Chattogram,56658,"Oct 26, 2018",ODI # 4061,1153637,ODI
India,6,West Indies,4,West Indies,4,43 runs,Pune,545380,"Oct 27, 2018",ODI # 4062,1157756,ODI
India,6,West Indies,4,India,6,224 runs,Mumbai (BS),58317,"Oct 29, 2018",ODI # 4063,1157757,ODI
India,6,West Indies,4,India,6,9 wickets,Thiruvananthapuram,1120086,"Nov 1, 2018",ODI # 4064,1157758,ODI
Australia,2,South Africa,3,South Africa,3,6 wickets,Perth,1126475,"Nov 4, 2018",ODI # 4065,1144986,ODI
New Zealand,5,Pakistan,7,New Zealand,5,47 runs,Abu Dhabi,59396,"Nov 7, 2018",ODI # 4066,1157378,ODI
Australia,2,South Africa,3,Australia,2,7 runs,Adelaide,56293,"Nov 9, 2018",ODI # 4067,1144987,ODI
New Zealand,5,Pakistan,7,Pakistan,7,6 wickets,Abu Dhabi,59396,"Nov 9, 2018",ODI # 4068,1157379,ODI
Australia,2,South Africa,3,South Africa,3,40 runs,Hobart,56407,"Nov 11, 2018",ODI # 4069,1144988,ODI
New Zealand,5,Pakistan,7,no result,,,Dubai (DSC),392627,"Nov 11, 2018",ODI # 4070,1157380,ODI
Bangladesh,25,West Indies,4,Bangladesh,25,5 wickets,Dhaka,236761,"Dec 9, 2018",ODI # 4071,1153314,ODI
Bangladesh,25,West Indies,4,West Indies,4,4 wickets,Dhaka,236761,"Dec 11, 2018",ODI # 4072,1153315,ODI
Bangladesh,25,West Indies,4,Bangladesh,25,8 wickets,Sylhet,56689,"Dec 14, 2018",ODI # 4073,1153316,ODI
New Zealand,5,Sri Lanka,8,New Zealand,5,45 runs,Mount Maunganui,444258,"Jan 3, 2019",ODI # 4074,1153840,ODI
New Zealand,5,Sri Lanka,8,New Zealand,5,21 runs,Mount Maunganui,444258,"Jan 5, 2019",ODI # 4075,1153841,ODI
New Zealand,5,Sri Lanka,8,New Zealand,5,115 runs,Nelson,424917,"Jan 8, 2019",ODI # 4076,1153842,ODI
Australia,2,India,6,Australia,2,34 runs,Sydney,56544,"Jan 12, 2019",ODI # 4077,1144997,ODI
Australia,2,India,6,India,6,6 wickets,Adelaide,56293,"Jan 15, 2019",ODI # 4078,1144998,ODI
Australia,2,India,6,India,6,7 wickets,Melbourne,56441,"Jan 18, 2019",ODI # 4079,1144999,ODI
South Africa,3,Pakistan,7,Pakistan,7,5 wickets,Port Elizabeth,59159,"Jan 19, 2019",ODI # 4080,1144156,ODI
South Africa,3,Pakistan,7,South Africa,3,5 wickets,Durban,59089,"Jan 22, 2019",ODI # 4081,1144157,ODI
New Zealand,5,India,6,India,6,8 wickets,Napier,58857,"Jan 23, 2019",ODI # 4082,1153691,ODI
South Africa,3,Pakistan,7,South Africa,3,13 runs,Centurion,59079,"Jan 25, 2019",ODI # 4084,1144158,ODI
New Zealand,5,India,6,India,6,90 runs,Mount Maunganui,444258,"Jan 26, 2019",ODI # 4085,1153692,ODI
South Africa,3,Pakistan,7,Pakistan,7,8 wickets,Johannesburg,59120,"Jan 27, 2019",ODI # 4087,1144159,ODI
New Zealand,5,India,6,India,6,7 wickets,Mount Maunganui,444258,"Jan 28, 2019",ODI # 4088,1153693,ODI
South Africa,3,Pakistan,7,South Africa,3,7 wickets,Cape Town,59068,"Jan 30, 2019",ODI # 4090,1144160,ODI
New Zealand,5,India,6,New Zealand,5,8 wickets,Hamilton,58831,"Jan 31, 2019",ODI # 4091,1153694,ODI
New Zealand,5,India,6,India,6,35 runs,Wellington,58899,"Feb 3, 2019",ODI # 4092,1153695,ODI
New Zealand,5,Bangladesh,25,New Zealand,5,8 wickets,Napier,58857,"Feb 13, 2019",ODI # 4093,1153844,ODI
New Zealand,5,Bangladesh,25,New Zealand,5,8 wickets,Christchurch,58810,"Feb 16, 2019",ODI # 4094,1153845,ODI
New Zealand,5,Bangladesh,25,New Zealand,5,88 runs,Dunedin,58827,"Feb 20, 2019",ODI # 4095,1153846,ODI
West Indies,4,England,1,England,1,6 wickets,Bridgetown,59429,"Feb 20, 2019",ODI # 4096,1158066,ODI
West Indies,4,England,1,West Indies,4,26 runs,Bridgetown,59429,"Feb 22, 2019",ODI # 4097,1158067,ODI
West Indies,4,England,1,no result,,,St George's,59490,"Feb 25, 2019",ODI # 4098,1158068,ODI
West Indies,4,England,1,England,1,29 runs,St George's,59490,"Feb 27, 2019",ODI # 4099,1158069,ODI
Afghanistan,40,Ireland,29,Afghanistan,40,5 wickets,Dehradun,1145946,"Feb 28, 2019",ODI # 4100,1168115,ODI
Afghanistan,40,Ireland,29,no result,,,Dehradun,1145946,"Mar 2, 2019",ODI # 4101,1168116,ODI
India,6,Australia,2,India,6,6 wickets,Hyderabad (Deccan),58142,"Mar 2, 2019",ODI # 4102,1168242,ODI
West Indies,4,England,1,West Indies,4,7 wickets,Gros Islet,59518,"Mar 2, 2019",ODI # 4103,1158070,ODI
South Africa,3,Sri Lanka,8,South Africa,3,8 wickets,Johannesburg,59120,"Mar 3, 2019",ODI # 4104,1144167,ODI
Afghanistan,40,Ireland,29,Ireland,29,4 wickets,Dehradun,1145946,"Mar 5, 2019",ODI # 4105,1168117,ODI
India,6,Australia,2,India,6,8 runs,Nagpur,375326,"Mar 5, 2019",ODI # 4106,1168243,ODI
South Africa,3,Sri Lanka,8,South Africa,3,113 runs,Centurion,59079,"Mar 6, 2019",ODI # 4107,1144168,ODI
Afghanistan,40,Ireland,29,Afghanistan,40,109 runs,Dehradun,1145946,"Mar 8, 2019",ODI # 4108,1168118,ODI
India,6,Australia,2,Australia,2,32 runs,Ranchi,485865,"Mar 8, 2019",ODI # 4109,1168244,ODI
Afghanistan,40,Ireland,29,Ireland,29,5 wickets,Dehradun,1145946,"Mar 10, 2019",ODI # 4110,1168119,ODI
India,6,Australia,2,Australia,2,4 wickets,Mohali,57991,"Mar 10, 2019",ODI # 4111,1168245,ODI
South Africa,3,Sri Lanka,8,South Africa,3,71 runs,Durban,59089,"Mar 10, 2019",ODI # 4112,1144169,ODI
India,6,Australia,2,Australia,2,35 runs,Delhi,58040,"Mar 13, 2019",ODI # 4113,1168246,ODI
South Africa,3,Sri Lanka,8,South Africa,3,6 wickets,Port Elizabeth,59159,"Mar 13, 2019",ODI # 4114,1144170,ODI
South Africa,3,Sri Lanka,8,South Africa,3,41 runs,Cape Town,59068,"Mar 16, 2019",ODI # 4115,1144171,ODI
